Earliest Specimen Collection Date,County,Deaths,Deaths (7-Day Average),7-Day Death Count,7-Day Death Rate,Date/Time Updated
2020-11-07 00:00:00,Statewide,14,16.57,116,1.52,2022-04-25 11:33:14
2020-11-08 00:00:00,Statewide,15,17.43,122,1.59,2022-04-25 11:33:14
2020-11-09 00:00:00,Statewide,33,20.57,144,1.88,2022-04-25 11:33:14
2020-11-10 00:00:00,Statewide,27,22,154,2.01,2022-04-25 11:33:14
2020-11-11 00:00:00,Statewide,23,21,147,1.92,2022-04-25 11:33:14
2020-11-12 00:00:00,Statewide,27,22,154,2.01,2022-04-25 11:33:14
2020-11-13 00:00:00,Statewide,25,23.43,164,2.14,2022-04-25 11:33:14
2020-11-14 00:00:00,Statewide,23,24.71,173,2.26,2022-04-25 11:33:14
2020-11-15 00:00:00,Statewide,15,24.71,173,2.26,2022-04-25 11:33:14
2020-11-16 00:00:00,Statewide,47,26.71,187,2.44,2022-04-25 11:33:14
2020-11-17 00:00:00,Statewide,33,27.57,193,2.52,2022-04-25 11:33:14
2020-11-18 00:00:00,Statewide,26,28,196,2.56,2022-04-25 11:33:14
2020-11-19 00:00:00,Statewide,25,27.71,194,2.53,2022-04-25 11:33:14
2020-11-20 00:00:00,Statewide,30,28.43,199,2.6,2022-04-25 11:33:14
2020-11-21 00:00:00,Statewide,22,28.29,198,2.59,2022-04-25 11:33:14
2020-11-22 00:00:00,Statewide,15,28.29,198,2.59,2022-04-25 11:33:14
2020-11-23 00:00:00,Statewide,49,28.57,200,2.61,2022-04-25 11:33:14
2020-11-24 00:00:00,Statewide,43,30,210,2.74,2022-04-25 11:33:14
2020-11-25 00:00:00,Statewide,31,30.71,215,2.81,2022-04-25 11:33:14
2020-11-26 00:00:00,Statewide,20,30,210,2.74,2022-04-25 11:33:14
2020-11-27 00:00:00,Statewide,25,29.29,205,2.68,2022-04-25 11:33:14
2020-11-28 00:00:00,Statewide,25,29.71,208,2.72,2022-04-25 11:33:14
2020-11-29 00:00:00,Statewide,21,30.57,214,2.8,2022-04-25 11:33:14
2020-11-30 00:00:00,Statewide,62,32.43,227,2.96,2022-04-25 11:33:14
2020-12-01 00:00:00,Statewide,44,32.57,228,2.98,2022-04-25 11:33:14
2020-12-02 00:00:00,Statewide,41,34,238,3.11,2022-04-25 11:33:14
2020-12-03 00:00:00,Statewide,42,37.14,260,3.4,2022-04-25 11:33:14
2020-12-04 00:00:00,Statewide,33,38.29,268,3.5,2022-04-25 11:33:14
